policy,n_users,seed,sum_rate,runtime_ms,is_feasible,binary_objective,num_evaluated_assignments,power_optimizer_success,power_optimizer_iterations,rate_before_refinement,rate_after_refinement,best_available_rate,quality_pct_best_available,exact_rate,quality_pct_exact,exact_gap_pct
Greedy,3,130,1.7541309819132829,1.6293525695800781,True,,,True,1,1.7541309819132829,1.7541309819132829,13.098325160226379,13.392025014310809,13.098325160226379,13.392025014310809,86.6079749856892
QIO-Default,3,130,2.6954809647694664,23.635149002075195,True,-591.8894874899718,,True,1,2.6954809647694664,2.6954809647694664,13.098325160226379,20.578821580597257,13.098325160226379,20.578821580597257,79.42117841940274
QIO-HighQuality,3,130,2.6954809647694664,214.92242813110352,True,-591.8894874899718,,True,1,2.6954809647694664,2.6954809647694664,13.098325160226379,20.578821580597257,13.098325160226379,20.578821580597257,79.42117841940274
LocalSearch,3,130,2.6954809647694664,6.358623504638672,True,-591.8894874899718,,True,1,2.6954809647694664,2.6954809647694664,13.098325160226379,20.578821580597257,13.098325160226379,20.578821580597257,79.42117841940274
ExactSmall,3,130,13.098325160226379,249.2063045501709,True,3527.2212134153783,64.0,True,2,12.023730935400042,13.098325160226379,13.098325160226379,100.0,13.098325160226379,100.0,0.0
Greedy,3,140,1.754599483760392,1.577615737915039,True,,,True,1,1.754599483760392,1.754599483760392,12.845971729945314,13.658752491804382,12.845971729945314,13.658752491804382,86.34124750819562
QIO-Default,3,140,3.60656247958446,23.812532424926758,True,-587.3600592264474,,True,1,3.60656247958446,3.60656247958446,12.845971729945314,28.075435283554164,12.845971729945314,28.075435283554164,71.92456471644584
QIO-HighQuality,3,140,3.60656247958446,208.60052108764648,True,-587.3600592264474,,True,1,3.60656247958446,3.60656247958446,12.845971729945314,28.075435283554164,12.845971729945314,28.075435283554164,71.92456471644584
LocalSearch,3,140,3.60656247958446,6.38890266418457,True,-587.3600592264474,,True,1,3.60656247958446,3.60656247958446,12.845971729945314,28.075435283554164,12.845971729945314,28.075435283554164,71.92456471644584
ExactSmall,3,140,12.845971729945314,227.83684730529785,True,9762.636840231988,64.0,True,2,11.7605705720964,12.845971729945314,12.845971729945314,100.0,12.845971729945314,100.0,0.0
Greedy,3,150,1.754552975893368,1.6837120056152344,True,,,True,1,1.754552975893368,1.754552975893368,12.789309124285591,13.718903490741742,12.789309124285591,13.718903490741742,86.28109650925826
QIO-Default,3,150,3.043626894502877,28.564929962158203,True,-585.3981233841744,,True,4,2.493468378310391,3.043626894502877,12.789309124285591,23.79821196692588,12.789309124285591,23.79821196692588,76.20178803307412
QIO-HighQuality,3,150,3.043626894502877,225.5873680114746,True,-585.3981233841744,,True,4,2.493468378310391,3.043626894502877,12.789309124285591,23.79821196692588,12.789309124285591,23.79821196692588,76.20178803307412
LocalSearch,3,150,3.043626894502877,9.861230850219727,True,-585.3981233841744,,True,4,2.493468378310391,3.043626894502877,12.789309124285591,23.79821196692588,12.789309124285591,23.79821196692588,76.20178803307412
ExactSmall,3,150,12.789309124285591,234.5297336578369,True,6787.778489794384,64.0,True,2,10.93106170226041,12.789309124285591,12.789309124285591,100.0,12.789309124285591,100.0,0.0
Greedy,3,160,1.7544696102055126,1.6689300537109375,True,,,True,1,1.7544696102055126,1.7544696102055126,12.563466038588798,13.964853367825755,12.563466038588798,13.964853367825755,86.03514663217423
QIO-Default,3,160,3.602083903614772,28.66196632385254,True,-578.3997978340087,,True,5,2.5344953780606376,3.602083903614772,12.563466038588798,28.671099938113727,12.563466038588798,28.671099938113727,71.32890006188629
QIO-HighQuality,3,160,3.602083903614772,228.4703254699707,True,-578.3997978340087,,True,5,2.5344953780606376,3.602083903614772,12.563466038588798,28.671099938113727,12.563466038588798,28.671099938113727,71.32890006188629
LocalSearch,3,160,3.602083903614772,10.400056838989258,True,-578.3997978340087,,True,5,2.5344953780606376,3.602083903614772,12.563466038588798,28.671099938113727,12.563466038588798,28.671099938113727,71.32890006188629
ExactSmall,3,160,12.563466038588798,243.8509464263916,True,7127.500808530957,64.0,True,3,9.486398298017928,12.563466038588798,12.563466038588798,99.99999999999999,12.563466038588798,99.99999999999999,0.0
Greedy,3,170,1.7533755574262169,1.60980224609375,True,,,True,1,1.7533755574262169,1.7533755574262169,12.36803165370966,14.176674239835974,12.36803165370966,14.176674239835974,85.82332576016401
QIO-Default,3,170,3.969599483129281,27.614831924438477,True,-562.0968404202769,,True,3,2.6291812190484354,3.969599483129281,12.36803165370966,32.095644596273665,12.36803165370966,32.095644596273665,67.90435540372634
